track,artist,label
Sweet & Salty,Covenant,angry
Say My Name or Say Whatever,How to Dress Well,sadness
Loft,Deaf Center,fear
Still (Reprise),Ben Folds,fear
On The Line,Vain,angry
Libera me: Dies irae,Giuseppe Verdi,others
The Commander Thinks Aloud,The Long Winters,fear
Ghost Pirate Parole,Skerror,love
Capsized,Andrew Bird,love
i narrowly escaped,Choir And Marching Band,love
04 - Inner City Blues (Make Me Wanna Holler),Marvin Gaye,love
The Source,Lifeisround,love
Waltz & Nocturne In C# Minor  (Frédéric Chopin cover),Jose Travieso,love
Dreaming of You,Plastic Noise Experience,sadness
It Aint Right,The Red Clay Ramblers,others
Easton Kingdom,田中宏和,others
Egypt Song,Elvira Nikolaisen,others
Strawberry Fields Hotel,µ-Ziq,love
Forgotten Days,Iseloh,joy
Put Your Graffiti on Me,Kat Graham,angry
The Impossible,Mariah Carey,others
Tantum Ergo,Les Nouvelles Polyphonies Corses,joy
Last Straw,Robert Wyatt,sadness
Springtime,Leatherface,sadness
Summer Time - The Roughest Time,Jenny Wilson,sadness
Paranoja Jest Gola,Maanam,angry
"Booboo Man (Mama, Look at Bubu) - Lord Melody",Various Artists - Smithsonian Folkways,others
"Bewitched, Bothered, And Bewildered",Ella Fitzgerald,love
"Hot, Hot Papa",David Wilcox,sadness
The Killing Moon (All Night Version),Echo & the Bunnymen,fear
Painting,Atmosphere,fear
Mighty Joe Young,Supersuckers,angry
Everybody Loves Somebody,Frank Sinatra,love
Partytime,45 Grave,angry
You Just Died,Icon of Coil,love
My Legacy,Synthesia,joy
To Catch a Thief,Lovage,others
Jealousy,Liz Phair,sadness
Im Not Okay,Matt Pond PA,love
Judas,The Verve,love
Set the Controls for the Heart of the Sun,Psychic TV,fear
When You Come Down,Starhawk,love
Little Bit of Rain,Karen Dalton,fear
Lyric Suite for String Quartet - II. Andante amoroso,Alban Berg,love
Get Your Hands Off My Bottom,Lola Demo,angry
The Rifles Spiral,The Shins,joy
Cold Irons Bound,Tom Verlaine & The Million Dollar Bashers,joy
Colorado Blue,Alela Diane,joy
"He Say She Say (Featuring Gemini and Sarah Green for 1st & 15th Productions, Inc.)",Lupe Fiasco,love
Charlotte Sometimes,The Cure,fear
Sparkly,Young Magic,sadness
Childhoods End,John Young,angry
Icarus Ascending,Steve Hackett,fear
Down By The Riverbank,Louis Philippe,love
Crystalline,Björk,sadness
Deirdre,The Beach Boys,love
Demolition 2,Neo-Rista,joy
Midnight In A Perfect World Gab Mix,DJ Shadow,sadness
Tarantula scream,Iron Curtain,fear
(Do The) Empty House,The Comsat Angels,angry
Plenty For All,Hot Snakes,joy
Sandman,Kin,love
Misery( To Lady Day),Tony Scott,love
Panonia,Slaven Kolak,love
Magical Child,Alanis Morissette,love
dad is dead,Agonoize,love
Daddy Fat Sax,Big Boi,others
Ad Astra Per Aspera,Acceptance,love
Limbs,Agalloch,fear
Unbroken,Nadine Coyle,love
Jamás,Rodrigo Daniel,fear
Nobody Knows,P!nk,fear
"De Luces y de Sombras, Parte II: A lo Inalcanzable",Jose Travieso,fear
Murder,Royce da 59,love
I Mode,Arpanet,love
Half-Life,Double Dagger,sadness
Humanity (part II),Ennio Morricone,angry
The Sanzini Brothers Return,Flo & Eddie,sadness
The Hanging Tree (Rebel Remix),Jennifer Lawrence,joy
Laserblast!,Fu Manchu,sadness
Time Or Love,Rick Shaffer,angry
Dance Of Death,Calexico,fear
Who do You Love,2Pac,fear
Thousand Needles,Lea Michele,others
Roommates,"Now, Now",fear
The Immeasurable Space of Tones,John Luther Adams,love
Rainy Days and Mondays,Pat Metheny,love
Symmetrical Arizona,Kayo Dot,sadness
I Feel You,Schiller mit Heppner,fear
Spelunking,Laura Veirs,love
Life Sucks And Then You Die,Ray Jessel,joy
Come Back,Pearl Jam,fear
Cheyenne,Hanoi Rocks,angry
Youre My Baby,Robin Thicke,love
Downfall,Matt Costa,love
The Fight Of Moses Early & Sir Arthur McCloud,The Prize Fighter Inferno,fear
Good,Eliot Lipp,sadness
Call Of The Sea,David Arkenstone,fear
Piano Concerto No. 3 Op. 30: Finale (Alla Breve),Nikolai Lugansky,others
Cruising Down The Nile,Black Print,sadness
A Wicker Of Limbs,Tim Noble,sadness
Inside Extended,Stiltskin,joy
Nanny Nanny Boo Boo,Le Tigre,others
Señorita,Tenacious D,sadness
House of the Risin Sun,Bob Dylan,fear
The Trolley Song,Judy Garland,fear
Something So,Atmosphere,love
"U,U,D,D,L,R,L,R,A,B,Select,Start",Deftones,fear
Konvoi,Klaus Doldinger,others
Paradis Inanimé,Mylène Farmer,joy
Niente,Craig Armstrong,fear
The Light,The Album Leaf,love
Burnt By the Son,Jason Porter,angry
Movement 8 Edit (Taken From the Album - Heaven Earth And Everything In-Between),Ian K. Clark,joy
El Padrino (Adolfo de Jesus Constanzo),Church of Misery,others
Lights,Maritime,love
Lotus,DIR EN GREY,joy
Pelo Pulso,Paus,fear
Love Me,She Wants Revenge,sadness
Dont Change,Hall & Oates,others
Mother Earth,Jesu,fear
King Of Souls,White Zombie,angry
Papaji-reads-The-Ribhu-Gita-Track-No15-going-beyond-all,Papaji,fear
Si Se Calla El Cantor,Mercedes Sosa,joy
Nobody Knows You When Youre Down And Out,Sam Cooke,joy
Aphid Manure Heist,Beck,joy
Tricky Kid,Tricky,fear
Spitting Venom,Modest Mouse,joy
5 AM,Kwamie Liv,love
Heres That Rainy Day,Phyllis Hyman,love
Motion Sickness,Bright Eyes,love
Bin Laden (feat. Mos Def) Street,Immortal Technique,fear
Orders From The Dead,Diamanda Galás,angry
Wise Up Sucker,Pop Will Eat Itself,joy
Forgetful Heart,Bob Dylan,fear
Sartoscht (Zarathustra),Ahura,fear
Chimney Swift,___dREàgänN||||||,angry
Meeras Dance,Music from the World of Osho,love
Under Will,Jarboe,joy
Spending My Time,Roxette,fear
Contort Yourself,James White and the Contortions,others
Worried Shoes,Karen O and the Kids,fear
Never Is a Promise,Fiona Apple,fear
Urchulus Android,Skerror,angry
Raskaana,Höyry-kone,angry
Intro,Swollen Members,love
Quiet Desperation,nolongerhuman,angry
Beautiful,Avalanche City,love
Four Night Rider,The Rural Alberta Advantage,joy
Rose of May - Final Fantasy IX,Erutan,joy
Zebra,Man Man,others
Fantas,caterina barbieri,joy
KoKoKu,Laurie Anderson,fear
We Dont Need No Water/When I Need A Man,Tweet,joy
befriend a childkiller -,Venetian Snares,angry
"Venerdì mattina: è tutto come prima, come se niente fosse",Dilatazione,love
Slow Reaction,ISAAK HYPNOTIZER,love
Recommendation,Mirah,joy
Cot,Bears in the Woods,joy
Always on My Mind,Phantom Planet,others
ダルイカンジ,AKB48,angry
Waiting for the Hesitation,Eat Skull,sadness
All The Young Dudes 78,Morgan Fisher,joy
Não Se Apavore,Luca Mundaca,others
I See,Letters to Cleo,fear
Im Alone on This,Graeme Revell,love
Your Song,Tommy DAngelo,joy
Virgin Ska,Mr. Review,angry
Streetlights,Ludo,love
Estate,Phonorama,others
Music For 1001 Nights,Moroccan Spirit,fear
Industrial Meat Manufacture,Cerebrum Vortex,angry
Вовочка,Пеп-Си,joy
Largo e sostenuto,Muzio Clementi,sadness
"Eleanor Rigby, Julia (Transiti",The Beatles,angry
Creep,Echostream,others
The End Is Near,The Fiery Furnaces,fear
Blessing,Deuter,sadness
So Damn Early,The Raincoats,others
A Chilling Tale Part IV / Belz,3 Mustaphas 3,love
Cover Me,Hungry Lucy,sadness
Stuck on You,Blue Rodeo,fear
Sugar Rush,A*Teens,others
Blinded By Blood,Ulver,fear
Colors,The Rocket Summer,joy
Concrete Bed,Nada Surf,love
Chills,Ben Lee,fear
You Wear the Sun,Delays,love
I Will Not Sing A Hateful Song,The Constantines,love
The Whole World And You,Tally Hall,others
Muy Macho,Lorenzo Goetz,fear
Give Me,A Tribe Called Quest,love
Winter Snowdrop,Sieben,love
Lover Lay Down,Dave Matthews & Tim Reynolds,fear
O.C.B.,Joey Bada$$,love
Young Blood,The Beatles,others
Melody 7,Tera Melos,sadness
Houdini,Jega,joy
Peaceland,Nujabes,love
Loops of Drum and Bass,The Chemical Brothers,angry
Who Will?,Patrick Wolf,joy
Borneo,Jim Kweskin Jug Band,joy
Segertåget,Maskinen,joy
I Forgive Me,Nicola Hitchcock,others
Best Mistake,Ariana Grande,joy
Scarlet,Brooke Fraser,sadness
Throwaway Style,The Exploding Hearts,joy
Lady Lazarus,Vivid Tribe Of Psychics,love
Her Private Playground,Quallofill,fear
Ich lieb mich,Rosenstolz,others
Ground Control,Sage Francis,sadness
When It Began,The Replacements,angry
Ive Got A Match,They Might Be Giants,joy
A Corpse In My Bed,Creature Feature,sadness
bonito_antidoping,Ashbrg,others
Què Volen Aquesta Gent?,Maria Del Mar Bonet,others
Open Your Eyes,Platinum Pied Pipers,love
Hollow in the Ferns,Craig Armstrong,love
Los Angeles,Counting Crows,fear
Riders In The Sky (A Cowboy Legend),Peggy Lee,joy
Take,Lush,fear
Roman Reloaded (feat. Lil Wayne),Nicki Minaj,angry
The Girl,The Southern Death Cult,others
Geisha,Marjolaine,joy
Ominous,Punishment of Scaphae,angry
In Front Of The World,Stephen Kellogg & the Sixers,love
Fields of Elanor (Bubble Version),Van Gogh,others
Divine Romance,Phil Wickham,love
I Love You,The Pipettes,others
Govinda Jaya,Jai Uttal,sadness
God Send - Organized Konfusion,Pharoahe Monch,love
Pretty Girls,Joe Jackson,joy
Inside Job,Pearl Jam,love
Live Those Days Tonight,Friendly Fires,others
The Shining - Main Theme,Vitamin String Quartet,angry
No,The Cherry Blues Project,fear
Out There Somewhere (Part 2),Orbital,joy
All I Want (Original Instrumental),Weekender,joy
Mine (feat. Drake),Beyoncé,others
Money in the Bank Remix - Nicky Fuego,Nicky Fuego,angry
Influência Do Jazz,Tamba Trio,others
Shake It Up,倖田來未,others
Every Day,Roxette,love
This Foundry (Regis version),Raime,fear
Cold Cold Feeling,Ry Cooder,fear
The Tape,Working For A Nuclear Free City,fear
Tenerife Sea,Ed Sheeran,love
Solyma (Jerusalem),Solyma,sadness
Little White Duck,Danny Kaye,joy
Quarante,Kangding Ray,joy
my world,onecyze project,sadness
People of the Royal Parks,Blossom Toes,love
Disaster,The Besnard Lakes,sadness
Big Bad World,Plain White Ts,others
Fake,Richey Hackett,sadness
Younger Than Yesterday,Real Estate,love
By Your Side,Beachwood Sparks,love
Come Closer (Live version),Room Eleven,love
Love Conquers All,Deep Purple,joy
FYR,Le Tigre,angry
Bed (Main),J. Holiday,others
March of the Wolfmasters,Janelle Monáe,angry
Four Cornered Room,Lydia Lunch,love
The Uninvited Guest,Dog Fashion Disco,angry
What A Baby,Joe Cuba Sextet,sadness
Girl Friend (DEMO),Modern Lovers,love
Im Coming Home (From The Sky),Bvdub,fear
Comforting Prejudice,Beneath the Massacre,joy
You Belong To Me,Elvis Costello,others
Anioł,Hey,others
Used to Feel Before,Kingston Wall,sadness
Keep Your Mouth Shut - Tricky,Tricky,joy
Welcome to the End,Celldweller,joy
"Already Over, Pt. 2",Red,fear
The colour of spring,Mark Hollis,fear
Sunset Spirals feat. Sarah Cracknell,Xploding Plastix,joy
Unknown Track,FruJo,others
Fallin Out,Keyshia Cole,joy
Todo mundo morre,Suíça Bank,sadness
Feel So Good,Ashanti,others
Touch You,KatazTrophee,fear
Social Service,The Reds,angry
MBV Arkestra If They Move Kill Em,Primal Scream,sadness
Palomino,Shannon Wright,angry
Wash It Away,Black Lab,joy
Dig My Shit!,The Jon Spencer Blues Explosion,angry
zelo,Hotel Avenida,angry
Blue Buddha,My Life with the Thrill Kill Kult,joy
Its Too Late- Dead Poets Society Remix,Minefield,sadness
End Credits,Michael Giacchino,joy
Wayfearing Stranger,Jimmy Kelly,love
Goodbye,Gravity Kills,angry
Stop the Show,Built to Spill,fear
Mr. Bartender,Andrea Gillis,joy
People Get Ready,Eva Cassidy,love
Im Lost Without You Here,Rocketship,joy
Pavane pour une infante defunte (version for orchestra),Maurice Ravel,sadness
Друзья,Lumen,others
neXus,Her Ethic,angry
Why,Lou Rhodes,fear
Fly Me to the Moon,Westlife,others
En haluu kuolla tänä yönä,Jenni Vartiainen,others
Old Fart at Play,Captain Beefheart & His Magic Band,fear
Flee the Factory,The Receiving End of Sirens,sadness
Less Than a Pearl,Enya,fear
Fireworks,Stina Nordenstam,love
Out on the Road,Norah Jones,sadness
Shiny Stockings,Score,sadness
Weak Man,Good Old War,joy
Your Hidden Dreams,White Noise,fear
Im Lonely (And I Love It),Future Bible Heroes,fear
Finger Twist & Split,Cute Is What We Aim For,others
She Put It In A Cup (hair metal band acoustic ballad parody),Kevin Cryderman,fear
Ahuras Fravashis,Suns Of Arqa,angry
Say Goodbye to Yesterday,Non Phixion,love
Our Blessed Frozen Cells,Blut aus Nord,fear
Wolfskin Clad,Harvist,angry
Scenic World Pocketknifes Breathtaken Remix,Beirut,fear
Involuntary,M. Ward,love
PJ,Jesse Woods,love
"Three Is an Orgy, Four Is Forever",Ordo Rosarius Equilibrio,angry
Eric The Half A Bee,Monty Python,others
No Way Out,Anna Ternheim,fear
Private Show,Black Marble,joy
Träumer-Ei,Impulsantwort,fear
Yenelik (Part Ii),Sultan,fear
Someones Gotta Change Your Mind,Lindsey Buckingham,fear
Button Up Your Overcoat,The Bonzo Dog Band,others
Your Cloud,Tori Amos,love
I put a spell on you bonus,Tom Waits & Bette Midler,joy
Obscurity Knocks,The Trash Can Sinatras,joy
Mothers and Daughters (You Need It),Brighter Death Now,angry
Strangelove (Single Version),Depeche Mode,others
Raise A Little Hell,Trooper,sadness
Down,Ben Kweller,sadness
Last of the Fumes,Two Lone Swordsmen,angry
My Everlasting Life II,King Dude,angry
Exotic,Ray J,others
Pretentious,Slambo,joy
Flow (feat. Emi Hinouchi),Epik High,angry
Stay (Just A Little Bit More),The Dø,love
Gå nu,Veronica Maggio,sadness
Alone,Ben Harper & The Innocent Criminals,fear
Recall,Sinthetix,fear
Just What I Needed,Scout Niblett,others
So Sorry,Feist,fear
Xavier,Dead Can Dance,joy
Blind Melon Chitlin,Cheech & Chong,others
Trespasses,Converge,angry
Shine,Amber Pacific,angry
Sky Painted on Car,Venetian Snares,others
Haruka and Michiru,有澤孝紀,love
A Night to Remember,Cyndi Lauper,fear
Fast Way,Letters to Cleo,sadness
Attention,Ataxia,fear
Nostra gloria è la croce,Marco Frisina,joy
White Magic,Mustasch,joy
Lost Your Life,Wynardtage,joy
Sports,The Eclectic Moniker,others
The Story of the Stairs,Jeffrey Letterly,sadness
All Yours (Acoustic),Metric,love
Sleeping Woman,Luis Perez,love
Dynamit,Fisz Emade jako Tworzywo Sztuczne,others
Dont Fade Away,Milla Jovovich,joy
Exuvie Bizarre,Stille Volk,fear
Fée blanche,Simagrée,fear
Scena perhanove pogibije,Goran Bregović,others
Chromium,The Church,angry
Step Aside,Clawfinger,angry
Save,The Rocket Summer,others
Vapour Trail,Ride,joy
The Fall Of Light,Der Blaue Reiter,angry
Drawbridge (feat. DoseOne),Aesop Rock,angry
Loserville Park,"BAD (Buster, Adam, Donny)",fear
Mask,Wynardtage,joy
Black City,IWR,joy
Killer (Demo),Boy Kill Boy,joy
Experiments on Live Electricity,Gas,fear
Bullet Proof...I Wish I Was,Radiohead,fear
What Kind of Fool (Heard All That Before),Kylie Minogue,joy
Unadventurer (Feat. Subtitle),Daedelus,others
Show Me the Way,Zap Mama,joy
Sound Off,Slaughterhouse,love
Blue Seven,Liquid Mind,love
Daisychain,Richard Buckner,fear
The Dead,Velvet Acid Christ,angry
Nobody Home,Rick Shaffer,angry
Sad Lisa,Cat Stevens,fear
mysternium,Kalpataru Tree,love
Pumpkin Soup,Kate Nash,others
Morrígan,Tran Qual,fear
Sade Verhe Aaya Kar Kaafi - Bulleh Shah,Abida Parveen,joy
Morphing Thru Time,Enigma,joy
The Vampire Club,Voltaire,sadness
czar chasm,Trance to the Sun,others
Spider and I,Brian Eno,love
Under Control,Sporto Kantès,angry
For My Next Trick Ill Need a Volunteer,Warren Zevon,angry
Rapperfection (With Mr. Lif),Edan,joy
Hurt,Johnny Cash,fear
In the Closet,Michael Jackson,others
Duntisbourne Abbots,µ-Ziq,joy
Little Girl,Spiritualized,joy
Gouryella (Gigolo Remix),Gouryella,others
Fill 14,Speedy J,fear
Where Birds Dont Fly,Club 8,love
Unravel,Pale Grey Sky,angry
Gone Till November,Wyclef Jean,love
Lullaby,Loudon Wainwright III,love
Drome Scrubbed,Skerror,fear
Tattooed Man,Coil,fear
Feel Glorious,Milez Benjiman,joy
Plasticities,Andrew Bird,love
Carnival Fuge,Focus,love
Dreamer,Toni Childs,fear
Arlington Girl,Shivaree,fear
Scrambled,Harms Way,angry
Whatever It Takes,Anita Baker,love
Bailarina Do Mar,Anna Luisa,others
I Died With You,Chelsea Wolfe,joy
Gimme More,Britney Spears,others
Glittering Cities,Susan Raven,joy
Chant For Ezkaton 2000 e.v,Behemoth,joy
Accouchement,Dirty Elegance,fear
Saragossa Girl,Eggplant,angry
Never Say Never At All,Sicknature,angry
French Kisses,Bloomfield,others
Everlasting Dream,Laserdance,others
A Better Man Than Me,Dry Kill Logic,joy
No More Parades,Son Volt,sadness
The Real Me,Guilty Simpson,angry
Black The Sun,Alex Lloyd,love
To Binge,Gorillaz,love
Resentment,Jazmine Sullivan,fear
Never (Kotchy Remix),Eprom,love
Tension,清田愛未,angry
Obirin African (Woman of Africa),Art Blakey,fear
Let There Be Horns,RJD2,love
New Seeds,Boards of Canada,sadness
Switching Pencils,Bacanal Intruder,love
Dracula,Philip Glass,sadness
Angelas Secret,These Arms Are Snakes,others
This Ride,The Starting Line,others
Misorodzi,Ekkehard Ehlers,others
Five Minutes To Midnight,Boys Like Girls,others
Iodine,Jawbox,fear
The Chills,Peter Bjorn and John,love
Im Into Something Good,Jr. James & The Late Guitar,others
Eight,John Most,joy
He’s A Loving Kind Of Boy,God Help the Girl,others
Sing A Song For You,Tim Buckley,fear
View from Heaven,Yellowcard,joy
"Passacaglia and Fugue for organ in C minor, BWV 582",Peter Hurford,sadness
O Holy Night,Mills Single Violano Virtuoso,sadness
Gunslinger,The Limeliters,others
Where Fishes Go,Live,others
North of Lights End,Raised By Swans,love
A Symptom,"You, Me, and Everyone We Know",others
夏祭り,JITTERIN JINN,angry
"Holy, Holy Lord",Sofia Armenian Choir & Bedros Papazian,love
"Hold On, Be Strong",OutKast,fear
Bathroom Gurgle (Burns Remix),Late of the Pier,angry
REV 22:20,Puscifer,joy
Корабли,Сурганова и Оркестр,sadness
Help Me Through The Night,Whitesnake,others
Foreign Affair,Mike Oldfield,love
The Ugly Underneath,XTC,fear
Elsewhere,Bethany Joy Lenz,sadness
Comin On Strong,Trace Adkins,others
Hope vol. 2,Apocalyptica feat. Matthias Sayer (Farmer Boys),joy
relax,OCP,love
Barrel Of A Gun (Underworld Hard Mix),Depeche Mode,fear
Oh My Love,Martin L. Gore,love
Dark Star,Beck,fear
Baltimore,Nina Simone,love
Au Travers de la Brume,Storm of Capricorn,fear
Soda,Azealia Banks,fear
Plates 5-6,Ulver,love
On the Way to Hell,Paul Gilbert,joy
President In The Spotlight 1,John Young,angry
Care Free,Jon Schmidt,fear
Look At The Light,Sin Fang,love
Shes the One,Caribou,love
Mad About the Boy,Lena Horne,love
Green,Blockhead,love
Интимное,Мухомор,fear
Desire,Holly Valance,others
Express Yourself (Feat. Nicky Da B),Diplo,others
La Mariposa,Osvaldo Pugliese,joy
Law and Order,Stiff Little Fingers,angry
Turning Violent,The Flaming Lips,joy
The Barber Of Seville,Gioacchino Rossini,others
Dont Go Down,Elliott Smith,fear
Let It All In,The Lake Isle,fear
Not the End,Aaron Ackerson,others
No Home,The Ettes,sadness
Owl Waltz,Seabear,love
Nicas Dream,Horace Silver,love
Come Rain or Come Shine,The Bill Evans Trio,love
The Preakness,Panda Bear,fear
Constant Surprises,Little Dragon,love
Turtlebay,Florian Filsinger,love
Future Of The Roc,Young Gunz,love
Pound of Flesh,Regina Spektor,others
Libertine,Sevdaliza,angry
Coyote,Bobby McFerrin & Yo-Yo Ma,joy
...and Bringer of Sadness,Sopor Aeternus & The Ensemble of Shadows,sadness
Evacuating London,Harry Gregson-Williams,love
Push Your Tush,Jessica Simpson,joy
Dig It,The Beatles,others
Shes Too Good For Me,Warren Zevon,fear
Aint the Same as Before,The Hasbeens,joy
Do I Smile?,t+pazolite,angry
Lullaby,The Cure,joy
Wings Of The Shadow,David Arkenstone,others
Five-Colored Hands,True Womanhood,love
Burn Out,Last Of The Hunted Sonz Of Freestyle,joy
Rivers Of Joy,No Angels,others
Greene & Camille,David Arnold,sadness
Shadows Of Autumn (Dirty Version),Lewis Parker,love
The Very Thought of You,Elvis Costello; Marian McPartland,love
You Are Not What You Think You Are,Codes In The Clouds,sadness
Bruise Animals,The Deadfly Ensemble,fear
Indio,Brant Bjork,sadness
Мария,Маша и Медведи,love
Lobster in Cleavage Probe,Hatfield and the North,fear
Ghostbusters,Run-D.M.C.,sadness
Ridin in My Car,NRBQ,love
Tiger Eyes (Laid Back),Peaking Lights,love
Requiem,Jack or Jive,angry
Mistress Of Darkness,Baced!,joy
Europa,SnowW.Wwhite,fear
Sequent C,Tangerine Dream,sadness
Adventure,Slambo,others
The Collector,The Legendary Pink Dots,angry
FakeRecords,Tragic,angry
Dead March (In Gedenken),Wappenbund,fear
Crossroads Limiter,Asura,love
The Wrong Band,Tori Amos,joy
Promesses,DIMMI,others
Push The Envelope,The Asteroids Galaxy Tour,sadness
Procession from Ordo Virtutum,Hildegard von Bingen,sadness
One Day,Rotoscope,fear
Sodewou (Welcome),Maryam Mursal,others
Real Freak,Dru Hill,others
Amuse Toi Bien,Alice Dona,love
アローンアゲイン、ワンダフルワールド (ウツセミ版),Plastic Tree,angry
Give It 2 U (feat. Kendrick Lamar),Robin Thicke,others
2000000 Dubs,King Unique,fear
Hayatochiri,宇多田ヒカル,sadness
Yoga Fire,Free the Robots,fear
Distorted truth,Infekktion,sadness
Coffin Text,Unwritten Law,joy
Keep Me In Mind,Little Joy,love
Party People (feat. Fergie),Nelly,joy
3 AM At The Border Of The Marsh From Okefenokee,Tangerine Dream,fear
Wolken,Flinke Namen,love
Pulp Song,stellastarr*,others
21st Century Living,Matthew Good,angry
Big City Train,No Doubt,others
Fool,Jeremy and Rebecca,others
Bright Eyes - Another Travelin Song,Bright Eyes,others
Ravens And Wolves,Tired Pony,others
Lip Gloss,Pulp,others
Bari Improv,Kaki King,others
Have You Ever Loved A Woman? (Live),Eric Clapton,fear
Adams Song,blink-182,fear
Fall From Grace,The Red Jumpsuit Apparatus,joy
Bye Bye Baby,OK Go,joy
No Names (Black Debbie),DANGERDOOM,fear
I Will Do These Things,Azure Ray,love
Lovecar,Fireside,others
Addiction,Kanye West,love
lost sanctuary,Ferri,sadness
The Brain That Wouldnt Die,Tall Dwarfs,others
Tautou (b/e),Brand New,angry
Undertow,Cary Grace,fear
Elation Station (Beat Hackers rmx),Infected Mushroom,fear
Almost Is Never Enough (feat. Nathan Sykes),Ariana Grande,joy
Living with the Law,Chris Whitley,fear
Waking Life,Mackenzie Owen,fear
Three Sleepless Nights,Cacogen,angry
what do you want from me ?,Daija,joy
シャラノワールの森,志方あきこ,fear
Diamonds in the Mine,Leonard Cohen,fear
Anywhere Anytime,Jay-Jay Johanson,love
Ha,HTRK,joy
Everybody Thinks Im a Raincloud (When Im Not Looking),Guided by Voices,fear
Alien Axe,Neo-Rista,joy
Steel Cathedrals,David Sylvian,love
Do You Remember?,One True Thing,others
Touch That Body,Mint Condition,others
Zwischen Glauben und Vertrauen,Klee,others
Hymn To Her,The Pretenders,love
Shaken Cold,The Reds,joy
The Lonely,British Sea Power,sadness
Waiting For The Great Leap Forwards,Billy Bragg,joy
Benestrophy / Dog Lab (An Early Morning Remix),Benestrophe,love
Atlantikend,Blackfilm,sadness
Ayumi Beppu,East Helsinki Gunner,joy
"Baby, Now That Ive Found You",Alison Krauss & Union Station,fear
The Futile,Say Anything,joy
Where Were Calling From/Pounding,Doves,others
Big Black Death,The Microphones,love
I Dont Like The Drugs (Infected By The Source Of The Earth),Marilyn Manson,fear
The Hanging Garden (Album Version),AFI,joy
Erase My Scars,Evans Blue,sadness
No Wonder,Neil Young,love
So Its Over,Weeping Willows,love
Hey You (acoustic version),No Doubt,fear
Calling,Archive,fear
Resurgence,Vergel Evans,angry
Antarctica,The Bled,fear
Alice in Blunderland,Captain Beefheart & His Magic Band,love
Lets Give Him a Friend (See the lonely cloud),???,others
Like the Shadows (Exclusive Bonus Track),Kamelot,joy
Pledging My Time,Greg Brown,fear
Rain,Klaus Badelt,fear
Be Yourself,The Debutante Hour,joy
Black Republican,Nas,sadness
The Best of My Love,Eagles,love
Just Like A Queen (Share the Throne Mix),Ellis D,angry
Old Friends/Bookends,Simon & Garfunkel,fear
Throb,Janet Jackson,others
Constellation (Warp Time Remix),Adham Shaikh,others
As one,Shikata,joy
Blue Room (7),Kirlian Camera,love
I Will Survive (Album),Art Brut,fear
The Endless Dream: Talk,Yes,joy
No Future Part One,Titus Andronicus,fear
Pretty Green Eyes (Radio Edit),Ultrabeat,joy
The Agoge,Tyler Bates,joy
Sorrow,The National,fear
Saturne,Georges Brassens,joy
Barracuda,Diffraction,others
Caught in the Sun,Course Of Nature,joy
The Soviet (the foxes),mewithoutYou,angry
More to Life,My Computer,others
The Messengers of God,Björk,fear
Budapest to Buenos Aires,Spirojazz,others
The Greatest Love Of All (Cosmic Love Remix),Michelle Lemay,love
"Ballade No. 1 in G Minor, Op. 23",Frédéric Chopin,others
Always (Violin Interlude),Kalliope,joy
Better Days Will Come,Tahiti 80,others
Satellite,BT,joy
Bolero (Conclusion),Maurice Ravel,joy
Si Puedo Volverte A Ver,Benny Ibarra y Miguel Bosé,sadness
Kaleidoscope,Mythos,sadness
Take To The Sky,Van Canto,angry
Angela,Mötley Crüe,joy
afterall,Delerium,joy
Rainy Day Parade,Jill Sobule,others
Look Me In The Eye,The Golden Filter,fear
Java Jive,The Manhattan Transfer,love
493 Ruth,Bomb the Music Industry!,fear
Welcome to Heartbreak (feat. Kid Cudi),Kanye West,fear
Christmas Eve,Panagiotis Kalantzopoulos,fear
Opening Title,Stephen Sondheim,fear
FiveFour,Lost in the Process,love
Noise,M83,fear
Doesnt Remind Me,Chris Cornell,love
Heart and Soul,Black Rebel Motorcycle Club,joy
"Starfuckers, Inc.",Nine Inch Nails,angry
take hold,Mika Miko,others
Merit,Cougar,others
2 of You,Danity Kane,others
Around My Way (feat. John Legend),Talib Kweli,love
Robbie Williams - Candy-01,Robbie Williams,joy
(Subversive Script),Dälek,angry
Buddy,The Lemonheads,fear
Herbie Goes Ballistic,Venetian Snares,joy
Give It Away,Andrew Bird,sadness
優しい夜明け,See-Saw,joy
Pompeii,Archie Bronson Outfit,joy
함께 (Standing Together)  Harmonica Ver. By Harim,퓨어,love
Three Black Feathers,Jim Moray,fear
The Last Knight Errant,Ordo Funebris,fear
Eons Later,Peggy Honeywell,sadness
Song Without a Name,Vast,joy
Assistance,The Book Of Knots,angry
Ovi ois,Valvomo,others
Disconnect the Dots,of Montreal,others
Enjoy the Silence (Reinterpreted) (Mike Shinoda),Depeche Mode,love
Want U,Lo-Fi-Fnk,others
void of life_original mix,Dead Phantoms,angry
Kristián,Wohnout,fear
Measure Five,Matt Pond PA,fear
Silver And Gold,Trampled by Turtles,angry
Devils Sweetheart,Alice Phoebe Lou,joy
Sweat (Snoop Dogg vs. David Guetta) Remix,Snoop Dogg,others
See the Leaves,The Flaming Lips,fear
E V,Johannes Brahms,love
Lonelytown,Paula Cole,sadness
Officer Jimbo,James Newton Howard,fear
Stratosphere,Digitalism,joy
"Mother, Let Us Weep For The Mortality Of Everything Beautiful In The World",imlac,joy
Janitor of Lunacy,Nico,fear
Fragments,Blondie,angry
