title,label
The Life and Death of Peter Sellers,anger
The Badge,anger
Appleseed,joy
The Milky Way,anger
Pippi in the South Seas,fear
Pippi on the Run,anger
Puddle Cruiser,anger
The Stickup,fear
Elektra,joy
Racing Stripes,sadness
Coach Carter,joy
The Fighting Sullivans,joy
Iceman,joy
Ice Station Zebra,sadness
Lugares comunes,joy
Boys Town,fear
Torremolinos 73,joy
Zhou Yus Train,love
Shivers,fear
A Star Is Born,sadness
Beastmaster 2: Through the Portal of Time,joy
Gold Diggers of 1935,joy
Rocco and His Brothers,anger
Strawberries in the Supermarket,anger
The Mortal Storm,sadness
Once Upon a Honeymoon,anger
Monday Morning,anger
Christmas in July,sadness
I Married a Witch,sadness
The Mayor of Hell,anger
The Miracle Woman,anger
Moolaadé,sadness
This Girls Life,joy
Memories of Murder,fear
The Chase,anger
Hobsons Choice,anger
Dr. Who and the Daleks,joy
Summer Storm,fear
Downfall,anger
The White Sound,fear
Assault on Precinct 13,anger
Are We There Yet?,fear
Alone in the Dark,anger
Hide and Seek,joy
Aliens of the Deep,joy
Boogeyman,sadness
The Wedding Date,joy
Inside Im Dancing,joy
Nobody Knows,anger
Employee of the Month,sadness
Magic in the Water,joy
The Great White Hope,anger
A Study in Terror,anger
Everything about Mustafa,joy
The Professionals,joy
The Devil and Miss Jones,anger
Alice in Wonderland,joy
Everyday People,joy
Backflash,joy
Salems Lot,anger
The Marriage of Maria Braun,joy
The Bitter Tears of Petra von Kant,anger
Beau Geste,sadness
At Swords Point,joy
Overnight,joy
Le Trou,sadness
Lessons of Darkness,joy
Fata Morgana,joy
Double Dragon,anger
Mac and Me,fear
Scorchers,joy
Rosenstrasse,fear
Casque dOr,joy
Touchez Pas au Grisbi,fear
The Matchmaker,love
The Ballad of the Sad Cafe,sadness
The Deceivers,anger
Siberia,joy
Purple Butterfly,joy
Easy,joy
El Cid,joy
Going All the Way,anger
A Taxing Woman,anger
The Bunker,joy
A Fine Madness,anger
Reap the Wild Wind,joy
2009: Lost Memories,sadness
The Architecture of Doom,joy
Inferno,sadness
Howls Moving Castle,anger
Steamboy,fear
Gorgeous,joy
The Blade,anger
Assisted Living,joy
The Nomi Song,fear
Hitch,love
Poohs Heffalump Movie,joy
Inside Deep Throat,joy
Uncle Nino,sadness
Bride & Prejudice,joy
Constantine,fear
Son of the Mask,fear
Because of Winn-Dixie,sadness
Turtles Can Fly,joy
Beautiful Boxer,anger
Pauly Shore Is Dead,sadness
Bunny Lake Is Missing,sadness
Jeremy,sadness
Dont Tell Her Its Me,love
Until September,sadness
Night and the City,joy
Frozen Land,sadness
Big Girls Dont Cry,joy
White Banners,joy
Night Watch,joy
Dot the I,sadness
Sister Helen,joy
Bright Leaves,joy
Topper Returns,fear
Sons of the Desert,anger
Morocco,love
Surplus: Terrorized Into Being Consumers,joy
Man of the House,joy
Samson and Delilah,joy
Kung Fu Hustle,anger
Shark Skin Man and Peach Hip Girl,anger
The Five People You Meet In Heaven,sadness
"No Retreat, No Surrender",fear
The ChubbChubbs!,joy
Travellers and Magicians,sadness
Želary,fear
Dragonworld,joy
Dr. Giggles,anger
The Corn Is Green,sadness
The Seven-Per-Cent Solution,fear
The Three Musketeers,joy
Royal Flash,anger
Masculin Féminin,love
Fallen Angel,joy
The Four Feathers,sadness
The Phone Box,fear
Night of the Demon,fear
Control,fear
Beautiful City,joy
Five Times Two,joy
Tart,joy
Bed and Board,anger
Germany Year Zero,sadness
Tombs of the Blind Dead,fear
The Sicilian Clan,anger
Love Me Tonight,anger
A Hole in My Heart,joy
Bigger Than the Sky,sadness
Diary of a Mad Black Woman,anger
Cursed,sadness
Up and Down,sadness
Gory Gory Hallelujah,sadness
The Pacifier,sadness
Be Cool,joy
Gunner Palace,anger
Walk on Water,joy
Hostage,fear
Robots,sadness
The Laughing Policeman,anger
Bopha!,anger
Class Action,anger
The Cat and the Canary,joy
Courage Mountain,sadness
Kiss The Bride,joy
Godzilla vs. The Sea Monster,fear
Godzilla vs. Mechagodzilla II,joy
That Championship Season,joy
Crush,fear
DNA,joy
The Low Life,anger
Rendez-vous,anger
"Oh, God! You Devil",joy
Amongst Friends,joy
Asfalto,anger
God Is Brazilian,joy
Captains of April,anger
Blackball,joy
The Agony and the Ecstasy,anger
Return to Peyton Place,joy
Butch and Sundance: The Early Days,joy
It Happened to Jane,anger
Once Upon a Forest,fear
Hello Down There,joy
All in a Nights Work,fear
Twentieth Century,joy
My Sister Eileen,joy
Strangers When We Meet,sadness
Or (My Treasure),sadness
Chronicles,fear
Lackawanna Blues,joy
The Green Berets,fear
Elevator to the Gallows,joy
The Diary of a Chambermaid,fear
Violent Cop,anger
Four Shades of Brown,sadness
Brians Song,sadness
Thriller: A Cruel Picture,anger
Cube Zero,anger
Into the Sun,fear
Project Grizzly,joy
Lumikuningatar,joy
Julia,anger
Save the Green Planet!,sadness
Stealing Rembrandt,anger
A Snake of June,fear
Thirty Seconds Over Tokyo,fear
Vares: Private Eye,joy
Girl Crazy,love
The 3 Penny Opera,anger
The Boys from County Clare,anger
Ice Princess,joy
Melinda and Melinda,love
Milk and Honey,sadness
Miss Congeniality 2: Armed and Fabulous,fear
Guess Who,fear
D.E.B.S.,joy
A League of Ordinary Gentlemen,joy
Incident at Loch Ness,anger
The River,joy
Virginias Run,sadness
Yanks,sadness
Paradise Alley,anger
The Seagulls Laughter,anger
Wild Horses,anger
Woman Thou Art Loosed,sadness
Arrowsmith,fear
Barbary Coast,anger
Stella Dallas,joy
Free Radicals,sadness
The Unfaithful,anger
Come and Get It,joy
Panic in the Streets,fear
Call Northside 777,anger
Young Törless,anger
Bells Are Ringing,joy
Finians Rainbow,sadness
The Toolbox Murders,anger
The Sword of Doom,anger
Deep Crimson,anger
800 Bullets,joy
Matango: Attack of the Mushroom People,anger
Ebola Syndrome,fear
The Music of Chance,anger
Tammy and the T-Rex,anger
Mixed Blood,sadness
If Looks Could Kill,anger
Greedy,anger
Carmen,anger
My Neighbors the Yamadas,joy
Pom Poko,joy
Knockin on Heavens Door,anger
City of Hope,sadness
Were No Angels,sadness
Sons and Lovers,anger
The Arrow,anger
Ruggles of Red Gap,sadness
Greetings,joy
End of the Century: The Story of The Ramones,anger
Love Letter,sadness
Natural City,joy
This Sporting Life,anger
A Touch of Zen,fear
Walker,anger
Zu: Warriors from the Magic Mountain,anger
Whistle Down the Wind,fear
The Earrings of Madame de...,sadness
No One Writes to the Colonel,sadness
Speedy,anger
Memories,fear
Invasion of Astro-Monster,fear
Harvie Krumpet,sadness
Intimate Affairs,fear
The Wild Parrots of Telegraph Hill,sadness
The Ballad of Jack and Rose,anger
Sin City,fear
Beauty Shop,joy
Look at Me,fear
Dust to Glory,anger
Sahara,joy
Fever Pitch,joy
Winter Solstice,anger
Smile,joy
Eye of the Tiger,fear
Not on the Lips,anger
"Krakatoa, East of Java",anger
Rhinestone,joy
Electra Glide in Blue,fear
Bring on the Night,joy
A Special Day,fear
This Land Is Mine,joy
The Foul King,anger
The Man Who Planted Trees,sadness
Tanguy,joy
National Lampoons Gold Diggers,anger
Blind Horizon,fear
Islands in the Stream,sadness
Go for Broke!,sadness
The Blood on Satans Claw,fear
"Reuben, Reuben",anger
TNT Jackson,fear
Why Has Bodhi-Dharma Left for the East?,sadness
Blue,joy
Bilitis,joy
Burn!,anger
Battle of the Bulge,joy
Ghosts... of the Civil Dead,anger
The Little Girl Who Lives Down the Lane,fear
Arabian Nights,fear
Age of Consent,sadness
Oedipus Rex,anger
Ringu 0,anger
Brothers,fear
"Dearest Relatives, Poisonous Relations",joy
Major Barbara,joy
Steppenwolf,fear
Hawaii,anger
Pretty Maids All in a Row,anger
Loners,joy
Red Desert,sadness
Satans Brew,fear
Mädchen in Uniform,love
Diary of a Lost Girl,sadness
Sexmission,joy
44 Minutes: The North Hollywood Shoot-Out,fear
Macbeth,joy
Garage Olimpo,joy
Vincent,anger
Waterloo Bridge,sadness
Hôtel Terminus: The Life and Times of Klaus Barbie,anger
The Sorrow and the Pity,anger
First Desires,love
With Six You Get Eggroll,anger
"Move Over, Darling",love
Love Me or Leave Me,anger
Jour de Fête,anger
The Big Store,anger
Mother Küsters Goes to Heaven,anger
Ivans Childhood,sadness
A Trip to the Moon,joy
Whisky,anger
The Ascent,sadness
Carrie,sadness
Boccaccio 70,anger
Frankenfish,sadness
Whos Your Daddy?,anger
Control,joy
Category 6: Day of Destruction,sadness
Trespassing,fear
A Self-Made Hero,fear
Life Is Sweet,sadness
Ride the Pink Horse,fear
The Chant of Jimmie Blacksmith,anger
Double Suicide,sadness
Boy,fear
Let Him Have It,anger
Guelwaar,anger
Dr. Akagi,fear
Black Rain,anger
Alexandras Project,fear
Clean,joy
The Delicate Art of Parking,anger
Wilson,joy
Blossoms in the Dust,anger
The Hitchhikers Guide to the Galaxy,sadness
Kings Game,anger
Barefoot,love
Dark Habits,anger
Snake and Crane Arts of Shaolin,fear
The Eiger Sanction,anger
It Started in Naples,joy
Skin Game,joy
F for Fake,sadness
Love Comes Softly,sadness
The Amityville Horror,fear
Mutant Aliens,joy
Acts of Worship,joy
Ike: Countdown to D-Day,joy
Cry of the Banshee,sadness
Phantom Lady,fear
Act of Violence,anger
Rouge,joy
Miracle in Milan,sadness
Before the Fall,anger
The Frisco Kid,fear
Onmyoji: The Yin Yang Master,joy
State Property 2,anger
The Year of the Yao,joy
House of D,sadness
Palindromes,love
Down and Derby,joy
A Wake in Providence,joy
A Lot Like Love,sadness
Kings Ransom,anger
The Game of Their Lives,joy
Madison,sadness
Enron: The Smartest Guys in the Room,anger
xXx: State of the Union,joy
Death of a Dynasty,joy
Kingdom of Heaven,anger
House of Wax,fear
Crash,sadness
Jiminy Glick in Lalawood,anger
Mysterious Skin,anger
Mischief,sadness
Jubal,sadness
Viva Maria!,joy
Between Your Legs,fear
Zatôichi Meets the One-Armed Swordsman,anger
The Angry Silence,anger
Isadora,anger
San Francisco,joy
Earth,joy
Él,joy
La Chienne,joy
Eréndira,joy
The Private Lives of Elizabeth and Essex,joy
The Search,sadness
Satantango,fear
On Borrowed Time,fear
The Taste of Tea,fear
Kes,love
The Human Comedy,sadness
Vampire Hunter D,fear
Buying the Cow,anger
A Common Thread,love
The Cocoanuts,anger
The Bridge,sadness
In the Time of the Butterflies,sadness
Road House,love
Dark Eyes,joy
Edges of the Lord,fear
Kids Return,anger
The Fearless Freaks,joy
Off the Map,sadness
Unconscious,joy
The Tesseract,anger
25 Watts,sadness
The Hiding Place,anger
The Keys of the Kingdom,joy
300 Miles to Heaven,fear
The Adventurer,anger
Crackerjack,joy
Solino,anger
Dear Wendy,joy
The List of Adrian Messenger,fear
9 Souls,fear
Los Angeles Plays Itself,joy
Unleashed,joy
The Red Squirrel,sadness
Martin (Hache),sadness
"Ugly, Dirty and Bad",anger
Leolo,joy
DuckTales: The Movie - Treasure of the Lost Lamp,fear
Babes in Arms,joy
Samaritan Girl,anger
Star Wars: Episode III - Revenge of the Sith,anger
Kicking & Screaming,sadness
Monster-in-Law,anger
Agatha,sadness
Death Takes a Holiday,joy
Vodka Lemon,joy
Deep Blue,joy
The Invisible Woman,joy
The Snow Walker,joy
Divorce Italian Style,anger
Carefree,fear
Shaolin Drunkard,fear
China Strike Force,fear
Dawg,anger
9 Songs,anger
The Uninvited,sadness
Bad Guy,anger
Simon,sadness
December 7th,sadness
Bataan,fear
Madagascar,fear
Somersault,fear
11 Harrowhouse,anger
Airborne,sadness
Mad Hot Ballroom,fear
Tell Them Who You Are,anger
Dominion: Prequel to the Exorcist,joy
The Longest Yard,joy
Saving Face,fear
Most Wanted,fear
Cinderella Man,sadness
The Sisterhood of the Traveling Pants,joy
Lords of Dogtown,joy
After You,fear
Rock School,anger
Mr. & Mrs. Smith,joy
The Adventures of Sharkboy and Lavagirl,joy
High Tension,fear
The Honeymooners,joy
Parineeta,sadness
Toto the Hero,joy
Ladies in Lavender,joy
Its All Gone Pete Tong,sadness
Daybreak,joy
When Trumpets Fade,sadness
Innocent Voices,joy
Godzilla vs. Biollante,joy
Anna and the King of Siam,joy
Dirty Filthy Love,joy
Good Neighbor Sam,joy
Eddie Izzard: Dress to Kill,joy
Quo Vadis,sadness
The Captains Paradise,love
Batman Begins,sadness
Aragami,fear
Godzilla: Final Wars,anger
Kings and Queen,sadness
The Perfect Man,joy
My Summer of Love,joy
Heights,joy
The Deal,anger
The Bridge of San Luis Rey,sadness
Saint Ralph,love
Herbie Fully Loaded,joy
Yes,love
Land of the Dead,joy
Bewitched,fear
Rize,joy
Exiles,fear
Home Movie,joy
Becky Sharp,anger
Danger: Diabolik,joy
The Trail of the Lonesome Pine,joy
Me and You and Everyone We Know,joy
Ferpect Crime,anger
Three… Extremes,fear
Happily Ever After,joy
Satans Little Helper,fear
The Edukators,fear
Somebody Up There Likes Me,anger
An Unmarried Woman,joy
The Racket,anger
The Member of the Wedding,joy
Coronado,anger
Retrograde,anger
Trekkies 2,joy
Man with the Screaming Brain,sadness
Ulzanas Raid,love
Rabbit Test,joy
The New Land,sadness
The Adventures of Mark Twain,joy
Bordertown,anger
Cop and ½,anger
Equinox,fear
Fathers Little Dividend,joy
For Petes Sake,joy
Twenty Bucks,fear
Do Not Disturb,fear
Deceived,fear
Room Service,sadness
Desert Saints,anger
Caterina in the Big City,sadness
My Friends,anger
At the Circus,anger
The Outfit,sadness
Modigliani,fear
Broadway Melody of 1940,sadness
The I Inside,fear
War of the Worlds,fear
My Brilliant Career,joy
Godzilla vs. Hedorah,joy
Gambit,joy
Billion Dollar Brain,anger
March of the Penguins,joy
Right Now,anger
Julian Po,anger
The God Who Wasnt There,joy
Black Belt Jones,joy
Rebound,sadness
Bonjour Monsieur Shlomi,joy
The Inner Circle,love
Dark Water,fear
The Beat That My Heart Skipped,sadness
Fantastic Four,joy
Murderball,sadness
Saraband,joy
Julie Johnson,anger
Wedding Crashers,sadness
Happy Endings,anger
C.H.O.M.P.S.,anger
The Hindenburg,fear
Staying Together,anger
Twin Sitters,anger
Conflict,anger
Russian Dolls,joy
The Crippled Masters,sadness
General Della Rovere,anger
Rick,anger
No Blade of Grass,fear
A Time to Love and a Time to Die,sadness
The Big Sky,joy
Fighter In The Wind,joy
Pornography,fear
Symmetry,joy
Karol: A Man Who Became Pope,sadness
Family Resemblances,anger
Hustle & Flow,joy
Hardware,anger
The Appaloosa,joy
Journey Into Fear,sadness
The Calcium Kid,joy
Funny Ha Ha,sadness
The Island,joy
Bad News Bears,sadness
The Devils Rejects,fear
Last Days,anger
November,joy
Sky High,joy
Stealth,joy
Must Love Dogs,joy
The Aristocrats,sadness
Twice in a Lifetime,sadness
Georgy Girl,anger
This Is My Life,sadness
The Music Lovers,love
Kiss and Make-Up,joy
Killer Condom,anger
A Touch of Spice,joy
Dust Devil,fear
Phone,fear
The Order,joy
Serenity,anger
The End of Suburbia: Oil Depletion and the Collapse of the American Dream,joy
Lets Get Lost,sadness
The Talent Given Us,sadness
Sholay,joy
Broken Flowers,sadness
Mr. Canton and Lady Rose,joy
Christmas in August,joy
Hum Dil De Chuke Sanam,joy
Baby Face,fear
The Star,joy
The Browning Version,anger
Fourteen Hours,sadness
The Heart is Deceitful Above All Things,sadness
Whispering Corridors,fear
Man-Thing,fear
Berserk,fear
The Dukes of Hazzard,anger
The Chumscrubber,anger
Secuestro Express,fear
Junebug,joy
Deuce Bigalow: European Gigolo,fear
The Skeleton Key,fear
Four Brothers,sadness
The Great Raid,joy
Asylum,joy
Pretty Persuasion,anger
Grizzly Man,joy
The Tree of Wooden Clogs,joy
The Girl in the Café,fear
The 24th Day,love
Prime Cut,anger
The Best of Everything,joy
Summer Magic,fear
The Three Stooges Meet Hercules,anger
Race with the Devil,anger
Acacia,fear
Mermaid Chronicles Part 1: She Creature,anger
Attila,joy
Un Flic,anger
One Point O,fear
My Date with Drew,sadness
Private Resort,anger
Pusher II: With Blood on My Hands,sadness
A Woman Rebels,anger
Duma,sadness
Bitter Victory,anger
Lila Says,anger
Doomed to Die,joy
Animal Farm,joy
Winter Soldier,anger
The Third Wheel,joy
The Sea,sadness
Teen Witch,joy
The Last of Mrs. Cheyney,love
Homesick,anger
Cast a Deadly Spell,joy
Movie Movie,anger
The Teahouse of the August Moon,anger
Do Fish Do It?,anger
Black,sadness
The 40 Year Old Virgin,joy
Who Killed Bambi?,fear
Contraband,joy
The Toolbox Murders,fear
Red Eye,fear
Lightning Bug,sadness
Man of the West,fear
Main Hoon Na,anger
Dilwale Dulhania Le Jayenge,anger
Dreamchild,joy
Miss Sweden,joy
My Cousin Rachel,fear
Caché,fear
Nobody Will Speak of Us When Were Dead,fear
Asterix & Obelix Take on Caesar,joy
The Key,fear
Strings,joy
Kin-dza-dza!,fear
Comrades: Almost a Love Story,sadness
Supercross,fear
Valiant,joy
The Brothers Grimm,joy
The Desperadoes,anger
Black Dragons,anger
The Holy Girl,anger
They Came Back,sadness
The Baxter,joy
The Cave,joy
Undiscovered,joy
Dirty Deeds,anger
The Constant Gardener,anger
Transporter 2,fear
Margaret Cho: Assassin,joy
Just Like Heaven,joy
Proof,joy
Lord of War,anger
Venom,anger
Cry_Wolf,fear
Everything is Illuminated,fear
Thumbsucker,anger
The Thing About My Folks,anger
HellBent,anger
G,love
In Old Chicago,joy
Now and Forever,anger
L.A. Without a Map,joy
Where Angels Fear to Tread,sadness
Family Guy Presents Stewie Griffin: The Untold Story,joy
Born in Flames,joy
Revenge of the Ninja,sadness
Sometimes in April,anger
Bookies,anger
Angel In My Pocket,fear
Police Story 2,anger
Le Jour se Lève,anger
International House,joy
New Police Story,sadness
The Edge of the World,anger
Golden Boy,joy
Go West,joy
Why We Fight,joy
Companeros,fear
Will Penny,sadness
200 Motels,joy
Gertrud,sadness
Come Drink with Me,fear
Kitty Foyle,anger
Doom,joy
Domino,anger
Waiting...,joy
Æon Flux,anger
Frankenstein 90,anger
Wedlock,fear
An Unfinished Life,sadness
The Man,fear
Survive Style 5+,sadness
Woyzeck,sadness
Its a Gift,sadness
Zozo,sadness
Blue Hill Avenue,joy
Chapter Two,sadness
16 Years of Alcohol,joy
The Exorcism of Emily Rose,joy
Flightplan,sadness
Corpse Bride,fear
Green Street Hooligans,joy
A History of Violence,anger
Oliver Twist,joy
The Greatest Game Ever Played,joy
Capote,anger
The Story of Vernon and Irene Castle,joy
The Anderson Tapes,fear
Born to Fight,joy
Final Fantasy VII: Advent Children,fear
Cockles and Muscles,joy
Roll Bounce,joy
Daltry Calhoun,sadness
Into the Blue,anger
"The Prize Winner of Defiance, Ohio",joy
Mirrormask,joy
Kwik Stop,joy
Innocence,joy
4,joy
Book of Love,joy
American Yakuza,sadness
The Flowers of St. Francis,joy
Madhouse,anger
Man to Man,joy
Münchhausen,joy
Medea,sadness
The Curse of the Were-Rabbit,joy
Seven Swords,anger
Kiss Kiss Bang Bang,anger
Whispering Corridors 3: Wishing Stairs,fear
A Bittersweet Life,anger
Dumplings,joy
A Short Film About Love,sadness
"All This, and Heaven Too",anger
Bubble,sadness
Beowulf & Grendel,anger
No Direction Home: Bob Dylan,fear
Valerie and Her Week of Wonders,anger
Everybodys Fine,joy
Hail the Conquering Hero,sadness
Goal!: The Dream Begins,joy
Forty Shades of Blue,sadness
Touch the Sound,fear
Angels in America,joy
Speak,anger
The Wraith,joy
Factotum,anger
Sweet Movie,love
By Dawns Early Light,joy
Dont Come Knocking,anger
Bullets or Ballots,joy
In Her Shoes,anger
Mother of Mine,sadness
The Ketchup Effect,anger
55 Days at Peking,anger
Dead & Breakfast,fear
Freeze Frame,fear
Punishment Park,anger
The Mating Game,love
The Squid and the Whale,love
Two for the Money,anger
Separate Lies,fear
Fourteen Sucks,fear
Star Wreck: In the Pirkinning,fear
Evelyn Prentice,anger
Brokeback Mountain,anger
Blue Vinyl,joy
Elizabethtown,sadness
North Country,joy
Leila,joy
"Good Night, and Good Luck.",anger
Lil Abner,joy
Dreamer: Inspired By a True Story,sadness
The Profession of Arms,sadness
Detective Story,sadness
The Proposition,anger
The Gospel,anger
Dandelion,sadness
C.S.A.: The Confederate States of America,anger
The Fog,fear
Loggerheads,sadness
Left Behind III: World at War,sadness
Protocols Of Zion,anger
Living til the End,sadness
Shopgirl,joy
Kids in America,joy
Where the Truth Lies,joy
Barely Legal,anger
Emmanuels Gift,sadness
Stay,fear
Confess,sadness
The Legend of Zorro,love
Gods Sandbox,joy
New York Doll,sadness
The Weather Man,sadness
Saw II,joy
Prime,love
One Wonderful Sunday,joy
Will Success Spoil Rock Hunter?,joy
Dont Move,love
Three Rooms of Melancholia,joy
"Race for Your Life, Charlie Brown",fear
Jerusalem,joy
"A Genius, Two Friends, and an Idiot",anger
Teorema,love
Little Fish,fear
American Pie Presents: Band Camp,joy
Champion,anger
Requiem for a Vampire,joy
Life Is a Miracle,joy
Tarzan the Ape Man,fear
Tarzan and His Mate,joy
Midnight Lace,fear
Empire of the Wolves,joy
The Great Yokai War,joy
The Swindle,anger
Mahogany,joy
Angels in Fast Motion,joy
Manderlay,sadness
Week-End in Havana,sadness
Nine Lives,joy
South Central,anger
Damnation Alley,sadness
The Bridges at Toko-Ri,anger
Love on the Run,joy
Duck Season,sadness
Aprile,anger
The Adventures of Prince Achmed,joy
The Gore Gore Girls,anger
Revolver,fear
Wild Zero,joy
Everything Put Together,joy
Jarhead,anger
Siblings,anger
Ushpizin,sadness
Chicken Little,anger
Romance & Cigarettes,love
To The Other Side,fear
Dead Mans Shoes,anger
Joyeux Noël,joy
Count Dracula,joy
The Brides of Dracula,joy
The Stratton Story,joy
The House That Dripped Blood,fear
Night of the Big Heat,anger
The Gorgon,anger
Night of the Lepus,anger
The Match Factory Girl,fear
Zombie and the Ghost Train,sadness
Highball,joy
Get Rich or Die Tryin,joy
Sword of the Beast,anger
Just Friends,anger
Syriana,fear
Calamari Union,sadness
The Best Intentions,sadness
La Vie de Bohème,sadness
Menolippu Mombasaan,joy
Derailed,anger
Creep,fear
Pride & Prejudice,joy
Keep Your Distance,sadness
Edison,sadness
Hi-Life,anger
Wolf Creek,anger
The Descent,fear
Summer Interlude,fear
Takeshis,fear
Forty Guns,anger
Harry Potter and the Goblet of Fire,anger
Dinner with Friends,anger
Walk the Line,joy
Rent,sadness
A Story of Floating Weeds,anger
My Mothers Smile,joy
Fists in the Pocket,sadness
Zathura: A Space Adventure,joy
CRAZY,fear
Lonesome Jim,sadness
Our Vines Have Tender Grapes,joy
Sarah Silverman: Jesus Is Magic,joy
Bee Season,sadness
Breakfast on Pluto,joy
The Ice Harvest,fear
"Yours, Mine & Ours",love
In The Mix,joy
The Libertine,anger
First Descent,joy
The Wild Geese,anger
Hondo,anger
The Bird with the Crystal Plumage,fear
A Good Woman,joy
Gate of Flesh,sadness
Brides,joy
The Evil of Frankenstein,anger
The Clockmaker of St. Paul,fear
Welcome to the Roses,joy
The Driver,joy
Mondovino,joy
Sounder,love
Match Point,anger
Nazarin,fear
Ziegfeld Follies,joy
Lorna,fear
The Deep,anger
The Dying Gaul,sadness
After Innocence,joy
The Citadel,joy
Beyond the Gates of Splendor,love
A Southern Yankee,joy
Paradise Now,joy
The Kid & I,joy
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",joy
King Kong,fear
Memoirs of a Geisha,sadness
The Family Stone,anger
The Promise,sadness
Kiss of Death,sadness
Where Were You When the Lights Went Out?,fear
Cuban Rafters,joy
Havoc,anger
Samurai Rebellion,fear
Koirankynnen leikkaaja,joy
Mother India,joy
Cowards Bend the Knee,sadness
A Generation,anger
"Ivan the Terrible, Part II: The Boyars Plot",anger
Down,fear
The Loveless,anger
A Room for Romeo Brass,anger
Dona Flor and Her Two Husbands,joy
The Matador,fear
Look Both Ways,love
Wal-Mart: The High Cost of Low Price,anger
7 Seconds,fear
8 Million Ways to Die,anger
Beyond the Forest,anger
Phffft!,joy
Mozart and the Whale,anger
The Organization,fear
Cinderella Liberty,sadness
Knute Rockne All American,joy
A Scene at the Sea,love
Birdcage Inn,sadness
Real Fiction,anger
Address Unknown,sadness
Dont Look Now: Were Being Shot At,sadness
They Died with Their Boots On,anger
The Three Burials of Melquiades Estrada,anger
House of Strangers,anger
Lili,fear
Slim Susie,fear
Executive Protection,anger
The Aura,anger
The Ambushers,anger
Day of Anger,anger
Munich,fear
The Producers,fear
Transamerica,joy
Rumor Has It...,joy
Cheaper by the Dozen 2,anger
Fun with Dick and Jane,joy
The Ringer,anger
Casanova,anger
Mrs Henderson Presents,joy
The White Countess,sadness
Dirty Love,sadness
The Spirit of the Beehive,sadness
Our Father,joy
Interrogation,fear
Richard Pryor: Live in Concert,joy
Kevin & Perry Go Large,sadness
The Ear,fear
The Debutantes,love
Luxo Jr.,joy
Keeping Mum,anger
Paheli,joy
Goodnight Mister Tom,anger
Late Spring,joy
The Dentist,joy
David Copperfield,joy
Family,anger
How to Irritate People,anger
Threads,joy
Yamakasi,sadness
Loves Enduring Promise,joy
After Image,fear
After Midnight,fear
The New World,anger
Voices of a Distant Star,joy
"When You Comin Back, Red Ryder?",fear
Christmas in Connecticut,joy
She,fear
Passport to Pimlico,fear
Whisky Galore!,sadness
A Run for Your Money,joy
The Master of Ballantrae,anger
7 Faces of Dr. Lao,fear
Samurai Assassin,sadness
Lies My Father Told Me,anger
We All Loved Each Other So Much,joy
The Boys of Baraka,anger
Tartuffe,anger
Sympathy for Lady Vengeance,joy
Boys Dont Cry,anger
Superprodukcja,joy
Grand Theft Parsons,joy
Devils Pond,sadness
The Cross of Lorraine,anger
The Cutting Edge: The Magic of Movie Editing,joy
The Quiller Memorandum,fear
49th Parallel,anger
Yesterday,fear
Penelope,love
Ted Bundy,anger
District B13,fear
BloodRayne,anger
Hostel,anger
Grandmas Boy,anger
Tristan & Isolde,anger
Glory Road,joy
Last Holiday,fear
Hoodwinked!,anger
Aprils Shower,joy
Underworld: Evolution,joy
Looking for Comedy in the Muslim World,joy
Casper Meets Wendy,joy
Hell Drivers,anger
Shadows of Forgotten Ancestors,joy
Buried Alive,joy
Séance,sadness
Hallelujah,anger
Cul-de-sac,fear
Riding Alone for Thousands of Miles,sadness
Confidentially Yours,joy
Revolution,joy
Project A,joy
A Womans Face,sadness
Sword of Gideon,joy
Little Manhattan,joy
Crocodile,joy
The Lower Depths,sadness
Vinci,anger
The Ordeal,fear
The Dunwich Horror,fear
The Creeping Unknown,anger
Hellraiser: Hellseeker,fear
Inside Daisy Clover,sadness
Gamera vs. Gyaos,fear
Over the Edge,joy
Roads to Koktebel,sadness
Swamp Women,fear
8MM 2,fear
On Probation,sadness
Bombón: The Dog,sadness
The Bird People in China,anger
Thoughtcrimes,fear
Water,sadness
The Temptations,joy
Sophie Scholl: The Final Days,joy
The Big House,anger
Uuno Turhapuro armeijan leivissä,joy
Matti: Hell Is for Heroes,anger
The Worlds Fastest Indian,joy
As Tears Go By,joy
Bandidas,anger
Made in Britain,anger
A Cock and Bull Story,anger
The Bitter Tea of General Yen,love
Love in the Afternoon,joy
Charlie: The Life and Art of Charles Chaplin,joy
Wilby Wonderful,joy
The Mystery of Rampo,anger
Helter Skelter,joy
French Fried Vacation,joy
Annapolis,anger
Big Mommas House 2,anger
Nanny McPhee,anger
Sweet November,love
Double Dare,joy
The Dark,fear
Panic in Year Zero!,joy
Here Comes the Groom,sadness
Julie,fear
Tea for Two,joy
Green Dolphin Street,sadness
Lt. Robin Crusoe U.S.N.,sadness
Bye Bye Birdie,sadness
The Comedians of Comedy,joy
The Honey Pot,anger
The Tuskegee Airmen,joy
Final Destination 3,anger
I Could Go on Singing,anger
Something New,joy
Free Money,fear
The Wind,joy
Dave Chappelles Block Party,joy
Madame Curie,fear
Orfeu,joy
The Sex of the Stars,anger
Imagine Me & You,love
Mississippi Mermaid,anger
Good Old Daze,sadness
Place Vendome,joy
Broken Lance,anger
